word,meaning,origin_era,category,2026_status
Aura,Distinctive atmosphere or "cool" energy surrounding someone,2020s,Gen Z/Alpha,Peak
Aura Farming,Deliberately curating one's image to look cool,2025,Gen Z/Alpha,Niche
Cooked,To be in a hopeless situation or completely defeated,2023,Gen Z/Alpha,Mainstream
Crash Out,A sudden emotional outburst or dramatic meltdown,2024,Gen Z/Alpha,Peak
404 Coded,Being mentally absent or clueless (like a web error),2025,Digital,Niche
Unc,Teasingly calling someone older "Uncle" if out of touch,2024,Gen Z/Alpha,Peak
Brainrot,Mental decline from excessive social media consumption,2023,Digital,Peak
Mewing,Tongue posture for a sharper jawline; usually ironic,2024,Gen Alpha,Peak
Delulu,Playfully delusional; usually regarding romance,2023,Gen Z,Cringe
Rizz,Short for charisma; ability to charm others,2022,Gen Z,Cringe
Gyatt,Exclamation of surprise or admiration (usually physique),2021,Gen Alpha,Cringe
Skibidi,Nonsense word used for approval or as a meme filler,2023,Gen Alpha,Cringe
Fanum Tax,Stealing a portion of a friend's food playfully,2023,Gen Alpha,Mainstream
Sigma,An independent "lone wolf" (often used ironically),2020s,Gen Z,Cringe
Peng,Very attractive or high quality,1990s,UK/London,Peak
Mandem,A group of close male friends,1990s,UK/London,Legacy
Wagwan,Greeting meaning "What is going on?",1980s,UK/Caribbean,Legacy
Gassed,Extremely excited or hyped up,2000s,UK/London,Mainstream
Ends,One's local neighborhood or area,1990s,UK/London,Legacy
Innit,Tag for agreement ("Isn't it?"),1950s,UK/London,Cringe
Knackered,Physically or mentally exhausted,1800s,British,Legacy
Quid,Slang for one British pound,1600s,British,Standard
Salty,Bitter or angry over a minor loss,1930s/2010s,General,Mainstream
Lit,Exciting or excellent (Originally 1920s for drunk),1920s/2010s,General,Cringe
Based,Being authentic/unapologetic about one's views,2010s,Internet,Mainstream
Cap,To lie or exaggerate ("No cap" = no lie),1900s/2010s,AAVE,Mainstream
Sus,Short for suspicious; sketchy,1930s/2020,Gaming,Mainstream
Drip,High-quality fashion or style,2010s,Hip-Hop,Mainstream
Ghosting,Cutting off communication without explanation,2010s,Digital,Mainstream
The Ick,Sudden repulsion toward a romantic interest,2020s,Gen Z,Peak
Dandy,A man obsessed with fashion and appearance,1770s,Historical,Formal
Flapper,A fashionable/lively young woman,1890s/1920s,Historical,Dead
Bee's Knees,Something excellent or impressive,1920s,Historical,Cringe
Groovy,Trendy or exciting,1960s,Historical,Cringe
Phat,Cool or impressive,1990s,Historical,Dead
Slang,Originally 'secret language' for thieves/beggars,1750s,Historical,Formal
6-7,Nonsensical response used to avoid giving a real answer,2025,Gen Alpha,Emerging
Lowkenuinely,A mashup of 'lowkey' and 'genuinely'; feeling something real but chill,2025,Gen Z,Niche
Dropping Lore,Sharing a wild or dramatic personal backstory out of nowhere,2024,Gaming/Digital,Peak
Rich in Life,Having great friends and experiences rather than just money,2025,Lifestyle,Emerging
Choppelganger,Someone who looks like you but is 'chopped' (unattractive),2025,Gen Z,Niche
HTN,High-Tier Normie; an attractive person who is otherwise average,2024,Incel/Internet,Niche
Algo-speak,Code words (like 'unalive' or 'corn') used to bypass AI filters,2023,Digital,Mainstream
Ragebait,Content created specifically to make people angry for engagement,2024,Digital,Peak
Touch Grass,Telling someone to go outside because they are too online,2021,Internet,Mainstream
Situationship,A romantic relationship that has no clear labels,2022,Lifestyle,Mainstream
Bed Rotting,Spending all day in bed as a form of self-care or burnout recovery,2023,Lifestyle,Peak
Beige Flag,A trait that isn't good or bad but is just 'weird' or boring,2023,Gen Z,Mainstream
Side-eye,A look of judgment or disapproval,2022,Internet,Mainstream
Hard Pass,A definitive and strong refusal,2010s,Business/Slang,Standard
Serving,Delivering a look or performance exceptionally well,2010s,Ballroom/AAVE,Mainstream
Ate,Did something extremely well ("You ate that"),2020s,AAVE/Gen Z,Mainstream
Glazing,Over-praising someone to the point of being annoying,2023,Gaming,Peak
Mogging,Being physically superior or outshining others in a room,2024,Looksmaxxing,Peak
Bop,A really good song (also used as an insult in some circles),2010s,Music/Gen Z,Mainstream
Caught in 4k,Caught red-handed with high-definition digital proof,2020,Digital,Mainstream
Zang,A modern "remix" of the word 'dang',2025,Gen Alpha,Niche
Huzz,Slang for 'hoes' (often used by teenage boys),2024,Gen Alpha,Niche
Gigglemug,Someone who is always smiling or looking happy,1800s,Victorian UK,Dead
Afternoonified,A posh or "high class" way of describing something,1880s,Victorian UK,Dead
Got the Morbs,Feeling temporarily sad or morbid,1880s,Victorian UK,Niche (Reviving)
Nanty Narking,Having a lot of fun (sometimes too much),1800s,Victorian UK,Dead
Skilamalink,Underhanded or dishonest behavior,1800s,Victorian UK,Dead
Absquatulate,To leave or disappear abruptly,1830s,American,Dead
Flummadiddle,Pretentious or worthless nonsense,1840s,American,Dead
Giggle Water,Alcoholic beverages (specifically during prohibition),1920s,Historical,Legacy
Mooncalf,A foolish or absent-minded person,1600s,Historical,Dead
Zounds,An exclamation of surprise (short for "God's Wounds"),1600s,Historical,Dead
Rapscallion,A mischievous or rascal-like person,1600s,Historical,Legacy
Shackbaggerly,Messy or disorderly (Midlands UK),1800s,UK Regional,Dead
Uglyography,Poor handwriting combined with bad spelling,1800s,Historical,Niche
Cattywampus,Something that is askew or wonky,1830s,American,Standard
Humbuggery,Deceptive behavior or nonsense,1700s,Historical,Standard
Taradiddle,Pretentious nonsense or a small lie,1700s,Historical,Dead
Blotto,Extremely drunk,1910s,Historical,Mainstream
Dead Soldier,An empty beer bottle,1900s,Historical,Legacy
Wisenheimer,A "smart aleck" or someone who thinks they are too clever,1900s,Historical,Cringe
Hawkshaw,A detective or investigator,1900s,Historical,Dead
Duck Soup,Something very easy to do,1920s,Historical,Cringe
Glad Rags,Your best "going out" clothes,1900s,Historical,Legacy
Hoosegow,A term for jail or prison,1900s,Historical,Legacy